target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source
FALSE POSITIVE,1.592633181,1.56,290.51,1053.0,4506.0,0.651,0.654,,5.5605,633.1,kepler
CONFIRMED,17.02902786,2.54,76.66,755.0,5839.0,1.067,0.881,,4.645,568.9,kepler
CONFIRMED,6.84619236,1.67,258.41,1022.0,5839.0,1.067,0.881,,3.529,246.8,kepler
CONFIRMED,67.8321638,2.39,12.14,476.0,5839.0,1.067,0.881,,7.358,507.8,kepler
CONFIRMED,43.1312147,2.39,22.21,554.0,5839.0,1.067,0.881,,3.198,447.8,kepler
CONFIRMED,1.224866441,1.54,2174.33,1741.0,5553.0,1.107,0.933,,1.7086,196.0,kepler
CONFIRMED,25.93406406,2.48,55.1,695.0,5952.0,1.225,1.059,,4.6142,414.5,kepler
FALSE POSITIVE,7.04710032,25.2,223.84,986.0,5766.0,1.068,0.96,,2.926,400.9,kepler
CONFIRMED,12.99204853,2.03,132.94,866.0,5765.0,1.242,0.968,,6.0175,270.6,kepler
FALSE POSITIVE,1.922861499,5.09,884.12,1392.0,5778.0,0.911,1.028,,3.5734,1916.2,kepler
CONFIRMED,4.28746668,2.29,186.31,942.0,5296.0,0.815,0.911,,1.5693,790.1,kepler
FALSE POSITIVE,2.002779769,1.42,696.4,1311.0,5346.0,0.892,0.799,,2.231,260.5,kepler
CONFIRMED,8.18739443,1.92,88.36,782.0,5251.0,0.849,0.821,,3.0472,517.6,kepler
CONFIRMED,3.341799486,1.67,798.41,1356.0,5873.0,1.235,1.092,,2.9254,178.2,kepler
FALSE POSITIVE,36.97708808,38.6,31.08,602.0,5589.0,1.239,0.873,,4.737,1269.9,kepler
CONFIRMED,3.749105745,1.68,428.25,1160.0,5751.0,0.983,0.987,,1.9826,182.6,kepler
CANDIDATE,7.37290344,2.67,240.11,1004.0,5973.0,1.07,0.982,,2.172,205.2,kepler
FALSE POSITIVE,7.24476126,0.65,116.02,837.0,5370.0,0.874,0.869,,2.3145,58.0,kepler
CONFIRMED,8.70798309,2.01,20.59,543.0,4362.0,0.554,0.59,,2.4904,1419.6,kepler
CANDIDATE,14.8623076,1.57,10.08,454.0,4362.0,0.554,0.59,,3.161,840.0,kepler
CONFIRMED,4.17634276,1.23,54.8,694.0,4362.0,0.554,0.59,,2.335,531.5,kepler
CONFIRMED,27.40229859,3.63,68.46,734.0,6198.0,1.324,1.101,,6.8491,747.5,kepler
CONFIRMED,3.179267286,1.21,347.01,1101.0,5511.0,0.857,0.96,,1.0246,200.9,kepler
CONFIRMED,10.38122447,2.18,48.37,672.0,5095.0,0.78,0.816,,2.715,801.5,kepler
CONFIRMED,24.5709023,2.82,15.33,505.0,5095.0,0.78,0.816,,3.587,764.2,kepler
FALSE POSITIVE,0.817026268,2.92,2386.13,1784.0,5619.0,0.874,0.956,,2.0799,1145.5,kepler
CONFIRMED,1.022678654,1.14,2138.47,1734.0,5366.0,1.02,0.875,,1.3712,129.2,kepler
CONFIRMED,12.10968709,2.98,240.8,1005.0,6021.0,1.458,0.96,,6.3461,284.7,kepler
CONFIRMED,4.75796103,1.7,835.65,1372.0,6021.0,1.458,0.96,,4.66,124.5,kepler
FALSE POSITIVE,13.55480534,0.62,50.41,679.0,5370.0,0.874,0.869,,2.288,48.3,kepler
FALSE POSITIVE,0.848483947,32.11,3117.82,1908.0,5941.0,0.936,1.019,,1.4451,1907.4,kepler
FALSE POSITIVE,11.99097576,37.47,141.63,880.0,6110.0,1.072,0.944,,5.7401,2124.3,kepler
CONFIRMED,53.5292702,2.28,3.48,348.0,4736.0,0.708,0.791,,5.668,1086.1,kepler
CONFIRMED,0.928310036,1.16,365.72,1115.0,4109.0,0.602,0.621,,1.1899,376.2,kepler
CONFIRMED,13.48457668,3.39,176.29,929.0,6198.0,1.324,1.101,,5.0197,653.5,kepler
CONFIRMED,31.8841473,3.7,23.82,563.0,5779.0,0.974,1.037,,6.122,910.0,kepler
CONFIRMED,12.06222962,1.62,74.8,750.0,5547.0,0.933,0.897,,2.0584,300.2,kepler
CONFIRMED,9.93146307,2.41,177.83,931.0,5782.0,1.22,1.035,,5.678,398.6,kepler
CONFIRMED,21.85362905,1.75,34.57,618.0,5830.0,0.876,0.97,,3.439,355.6,kepler
CONFIRMED,8.19345065,1.74,405.75,1144.0,6021.0,1.458,0.96,,5.234,115.4,kepler
CONFIRMED,41.8059544,2.02,19.02,533.0,5907.0,0.973,0.961,,6.057,434.4,kepler
CONFIRMED,4.77800306,1.85,177.79,932.0,5192.0,0.873,0.856,,2.7361,473.0,kepler
FALSE POSITIVE,7.814839231,5.33,156.74,903.0,5887.0,0.931,0.998,,3.0122,2010.3,kepler
CONFIRMED,5.32667299,2.26,242.97,1007.0,5831.0,0.921,1.016,,3.4045,611.4,kepler
FALSE POSITIVE,0.741057213,26.67,2128.29,1730.0,5496.0,0.776,0.869,,1.05299,1996.3,kepler
FALSE POSITIVE,2.988085455,21.81,348.05,1101.0,5497.0,0.809,0.907,,3.68,802.8,kepler
CONFIRMED,8.17242644,3.29,127.95,858.0,5705.0,0.905,0.943,,3.902,864.3,kepler
CONFIRMED,13.0607936,1.45,68.66,734.0,5830.0,0.876,0.97,,3.215,236.6,kepler
CANDIDATE,4.2989201,2.12,283.62,1046.0,5300.0,0.986,0.861,,2.747,237.6,kepler
CONFIRMED,8.70420525,2.86,74.13,748.0,5074.0,0.863,0.809,,2.9385,1074.9,kepler
CONFIRMED,8.1280933,1.39,138.51,875.0,5831.0,0.921,1.016,,3.727,224.1,kepler
CANDIDATE,2.83668931,1.19,562.48,1242.0,5831.0,0.921,1.016,,3.031,166.1,kepler
