target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source,earth_similarity_score,similarity_breakdown,earth_similarity_category
CANDIDATE,7.2406612,19.45,68.63,734.0,5005.0,0.765,0.85,,0.558,556.4,kepler,43.85949579883017,"{'planetary_radius': 0.7032152929935545, 'insolation_flux': 0.15425404861589131, 'equilibrium_temp': 0, 'orbital_period': 0.8039565238781852, 'stellar_temp': 0.6134999999999999, 'stellar_radius': 0.9464241109688798}",Moderate
CANDIDATE,3.43591631,0.55,617.61,1272.0,5779.0,1.087,0.941,,3.133,23.2,kepler,50.78491818778622,"{'planetary_radius': 0.940216299924438, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7666850798192162, 'stellar_temp': 0.9995, 'stellar_radius': 0.9833156783721855}",Moderate
CONFIRMED,19.27153892,1.93,5.66,393.0,4077.0,0.56,0.576,,2.7594,1219.8,kepler,58.804525679686456,"{'planetary_radius': 0.9342479997083206, 'insolation_flux': 0.6533152215569817, 'equilibrium_temp': 0, 'orbital_period': 0.8529023644765235, 'stellar_temp': 0.14949999999999997, 'stellar_radius': 0.8840363009494115}",Moderate
CONFIRMED,10.06524317,1.91,13.43,488.0,4077.0,0.56,0.576,,1.369,1053.3,kepler,54.19066980996039,"{'planetary_radius': 0.9352896757941461, 'insolation_flux': 0.48050179789297076, 'equilibrium_temp': 0, 'orbital_period': 0.8204253084064679, 'stellar_temp': 0.14949999999999997, 'stellar_radius': 0.8840363009494115}",Moderate
CONFIRMED,12.3935651,2.66,49.68,677.0,5557.0,0.75,0.832,,3.8896,916.6,kepler,54.45262504290827,"{'planetary_radius': 0.9021673877206392, 'insolation_flux': 0.2188795124749554, 'equilibrium_temp': 0, 'orbital_period': 0.8308297671866995, 'stellar_temp': 0.8895, 'stellar_radius': 0.9424635855096438}",Moderate
CONFIRMED,43.84439721,2.87,18.77,531.0,5854.0,1.012,0.951,,6.802,615.2,kepler,60.7238685309791,"{'planetary_radius': 0.894568797022847, 'insolation_flux': 0.41354802988031647, 'equilibrium_temp': 0, 'orbital_period': 0.8940032444151051, 'stellar_temp': 0.962, 'stellar_radius': 0.9976142858269452}",High
FALSE POSITIVE,3.341913228,21.55,268.67,1032.0,5295.0,0.811,0.853,,3.813,725.3,kepler,40.81736603303999,"{'planetary_radius': 0.6929624183450243, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7652980707555981, 'stellar_temp': 0.7585, 'stellar_radius': 0.9581025550266552}",Moderate
FALSE POSITIVE,1.626630225,32.43,1355.88,1547.0,5735.0,0.973,0.889,,2.1145,1620.6,kepler,41.61334128107181,"{'planetary_radius': 0.6520916079680773, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.729296423882563, 'stellar_temp': 0.9785, 'stellar_radius': 0.9945257606407736}",Moderate
CONFIRMED,2.711504086,3.12,960.79,1420.0,6214.0,1.076,1.169,,3.0099,837.5,kepler,46.881711254587245,"{'planetary_radius': 0.8862166998178609, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7548460721791013, 'stellar_temp': 0.782, 'stellar_radius': 0.9853499076520814}",Moderate
CONFIRMED,7.21203748,3.32,260.58,1025.0,6214.0,1.076,1.169,,4.0491,950.4,kepler,47.18443991527062,"{'planetary_radius': 0.8800035217071603, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8037584725795412, 'stellar_temp': 0.782, 'stellar_radius': 0.9853499076520814}",Moderate
FALSE POSITIVE,14.1798187,1.88,60.35,711.0,5799.0,0.878,0.975,,2.505,459.9,kepler,55.74589008879867,"{'planetary_radius': 0.9368728223158143, 'insolation_flux': 0.17996781049129196, 'equilibrium_temp': 0, 'orbital_period': 0.8375618842388948, 'stellar_temp': 0.9895, 'stellar_radius': 0.973978262930596}",Moderate
CONFIRMED,8.47237911,2.59,75.44,751.0,5354.0,0.788,0.884,,2.7245,1123.5,kepler,51.28819564474074,"{'planetary_radius': 0.9048342124288553, 'insolation_flux': 0.1353324723349596, 'equilibrium_temp': 0, 'orbital_period': 0.8118114652625339, 'stellar_temp': 0.788, 'stellar_radius': 0.9523485621751484}",Moderate
CONFIRMED,60.4189369,2.36,5.49,390.0,5354.0,0.788,0.884,,5.039,931.3,kepler,65.65147694115888,"{'planetary_radius': 0.9141338380962482, 'insolation_flux': 0.6594143488957122, 'equilibrium_temp': 0, 'orbital_period': 0.9100360265002878, 'stellar_temp': 0.788, 'stellar_radius': 0.9523485621751484}",High
