target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source,earth_similarity_score,similarity_breakdown,earth_similarity_category
FALSE POSITIVE,2.15292788,1.02,2708.61,1841.0,5851.0,1.555,0.821,,3.043,41.4,kepler,51.567239907352736,"{'planetary_radius': 0.9980197372703821, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.743312333487247, 'stellar_temp': 0.9635, 'stellar_radius': 0.9117048908737605}",Moderate
FALSE POSITIVE,2.61585431,1.28,803.03,1358.0,6131.0,0.945,1.023,,6.519,169.8,kepler,49.96835375947566,"{'planetary_radius': 0.9753139922068474, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7530504344758634, 'stellar_temp': 0.8235, 'stellar_radius': 0.9886859297023212}",Moderate
CANDIDATE,9.54699216,1.71,232.24,996.0,6274.0,1.232,1.261,,5.063,143.0,kepler,48.87970307193715,"{'planetary_radius': 0.9463506629485432, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8177822048592187, 'stellar_temp': 0.752, 'stellar_radius': 0.9582722269777344}",Moderate
CANDIDATE,14.708641,1.82,130.5,862.0,6274.0,1.232,1.261,,5.394,130.6,kepler,49.55191204460021,"{'planetary_radius': 0.9401163498911296, 'insolation_flux': 0.025725354647450294, 'equilibrium_temp': 0, 'orbital_period': 0.8393926546791397, 'stellar_temp': 0.752, 'stellar_radius': 0.9582722269777344}",Moderate
CONFIRMED,31.3351094,1.99,46.53,666.0,6404.0,1.142,1.175,,6.071,264.9,kepler,54.244407205445874,"{'planetary_radius': 0.9311865361263599, 'insolation_flux': 0.23198054682868852, 'equilibrium_temp': 0, 'orbital_period': 0.8772078562171695, 'stellar_temp': 0.687, 'stellar_radius': 0.9734437777532363}",Moderate
FALSE POSITIVE,1.061002863,1.06,1883.03,1679.0,5767.0,0.881,0.979,,1.962,142.4,kepler,51.722811876279685,"{'planetary_radius': 0.9941731091876024, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7079316253697567, 'stellar_temp': 0.9945, 'stellar_radius': 0.9746604693908085}",Moderate
FALSE POSITIVE,4.4697452,2.43,574.11,1248.0,6102.0,1.125,0.955,,5.33,241.5,kepler,48.39691786935267,"{'planetary_radius': 0.9112108742647543, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7798374677066422, 'stellar_temp': 0.838, 'stellar_radius': 0.9764433928687233}",Moderate
FALSE POSITIVE,12.422216754,0.8,131.73,864.0,6231.0,1.084,1.14,,6.5533,54.5,kepler,50.89059182310979,"{'planetary_radius': 0.977685644868579, 'insolation_flux': 0.023849125351652845, 'equilibrium_temp': 0, 'orbital_period': 0.8309452246278547, 'stellar_temp': 0.7735, 'stellar_radius': 0.983868419396509}",Moderate
CONFIRMED,4.85018974,1.1,344.04,1098.0,6032.0,0.973,1.055,,5.676,64.5,kepler,51.25591615139231,"{'planetary_radius': 0.9904689820195675, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7839217887601417, 'stellar_temp': 0.873, 'stellar_radius': 0.9945257606407736}",Moderate
CONFIRMED,3.82315697,0.77,638.38,1282.0,6202.0,1.122,1.213,,2.388,47.2,kepler,49.70104013180528,"{'planetary_radius': 0.9738635235865593, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7720247231309003, 'stellar_temp': 0.788, 'stellar_radius': 0.976977438579899}",Moderate
FALSE POSITIVE,1.54039744,1.08,1267.95,1520.0,5649.0,0.884,0.751,,1.787,127.6,kepler,51.26654786545733,"{'planetary_radius': 0.9923038958863871, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7265729205210214, 'stellar_temp': 0.9355, 'stellar_radius': 0.9753403567311013}",Moderate
CONFIRMED,8.45805119,2.52,367.05,1117.0,6172.0,1.471,1.25,,2.998,258.7,kepler,47.9885492241404,"{'planetary_radius': 0.9075741098476668, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8117268370329696, 'stellar_temp': 0.8029999999999999, 'stellar_radius': 0.92281151167614}",Moderate
CONFIRMED,9.84262076,2.41,97.62,801.0,5585.0,0.972,1.064,,1.6018,626.4,kepler,51.65537831186071,"{'planetary_radius': 0.9120373252497437, 'insolation_flux': 0.08378352190819971, 'equilibrium_temp': 0, 'orbital_period': 0.8193069981185109, 'stellar_temp': 0.9035, 'stellar_radius': 0.9943201050956604}",Moderate
FALSE POSITIVE,2.99194823,0.78,255.16,1019.0,5269.0,0.727,0.812,,4.39,99.6,kepler,48.988458473918,"{'planetary_radius': 0.97515386407015, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.759767135326212, 'stellar_temp': 0.7455, 'stellar_radius': 0.9362342397102764}",Moderate
CONFIRMED,62.3026877,3.05,10.05,454.0,5688.0,0.971,0.895,,7.509,859.3,kepler,63.752994502667825,"{'planetary_radius': 0.8884858409380679, 'insolation_flux': 0.538485473098983, 'equilibrium_temp': 0, 'orbital_period': 0.9115711257742024, 'stellar_temp': 0.955, 'stellar_radius': 0.9941142378618376}",High
CANDIDATE,7.23531329,1.53,501.36,1207.0,6422.0,1.421,1.22,,3.338,112.2,kepler,48.192031749931644,"{'planetary_radius': 0.9574732264595656, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.803919580525964, 'stellar_temp': 0.6779999999999999, 'stellar_radius': 0.9297278301770073}",Moderate
FALSE POSITIVE,1.332547503,1.23,2062.92,1719.0,6077.0,0.999,1.077,,4.521,130.3,kepler,50.07621222917472,"{'planetary_radius': 0.9792985830615674, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.719325523766129, 'stellar_temp': 0.8505, 'stellar_radius': 0.9997998999332833}",Moderate
CONFIRMED,24.4972683,2.74,64.25,722.0,6392.0,1.162,1.232,,5.43,449.1,kepler,51.59106474286587,"{'planetary_radius': 0.8992042079600021, 'insolation_flux': 0.1674436552449341, 'equilibrium_temp': 0, 'orbital_period': 0.8648989781372165, 'stellar_temp': 0.6930000000000001, 'stellar_radius': 0.9699714683140561}",Moderate
FALSE POSITIVE,4.20253859,0.71,394.08,1136.0,5596.0,1.015,0.829,,5.389,31.5,kepler,50.815193819794445,"{'planetary_radius': 0.9657509691053224, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7767553359128526, 'stellar_temp': 0.909, 'stellar_radius': 0.9970222775012499}",Moderate
FALSE POSITIVE,0.89486317,1.19,2296.25,1764.0,5764.0,0.863,0.959,,2.657,172.0,kepler,51.25496623787728,"{'planetary_radius': 0.9826046692876562, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6994166747146299, 'stellar_temp': 0.993, 'stellar_radius': 0.9705318824202582}",Moderate
CONFIRMED,4.62602867,1.65,247.34,1012.0,5834.0,0.797,0.852,,0.643,346.9,kepler,50.80633189143968,"{'planetary_radius': 0.9499224712087511, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7815558355369068, 'stellar_temp': 0.972, 'stellar_radius': 0.9546198799616156}",Moderate
FALSE POSITIVE,7.04716175,1.1,105.1,817.0,5496.0,0.776,0.869,,2.693,150.8,kepler,52.80192676061374,"{'planetary_radius': 0.9904689820195675, 'insolation_flux': 0.0690175444234189, 'equilibrium_temp': 0, 'orbital_period': 0.8026021448240159, 'stellar_temp': 0.859, 'stellar_radius': 0.9492794482402164}",Moderate
CANDIDATE,4.93211932,1.02,837.01,1372.0,6422.0,1.421,1.22,,3.144,50.5,kepler,49.21682463269838,"{'planetary_radius': 0.9980197372703821, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7847593363701892, 'stellar_temp': 0.6779999999999999, 'stellar_radius': 0.9297278301770073}",Moderate
CONFIRMED,8.40693068,1.95,285.67,1048.0,5365.0,1.533,0.899,,1.866,167.1,kepler,48.61852248037269,"{'planetary_radius': 0.9332170627424344, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8114237197989331, 'stellar_temp': 0.7935, 'stellar_radius': 0.9145546800220646}",Moderate
CANDIDATE,3.39904814,0.81,477.15,1191.0,5766.0,0.929,0.876,,2.922,69.6,kepler,51.895647057370745,"{'planetary_radius': 0.9789278968684347, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7661456691485995, 'stellar_temp': 0.994, 'stellar_radius': 0.9852706919663403}",Moderate
FALSE POSITIVE,0.974479091,1.19,1239.32,1513.0,5043.0,0.819,0.776,,1.866,221.2,kepler,47.640251749987186,"{'planetary_radius': 0.9826046692876562, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7036782866486567, 'stellar_temp': 0.6325000000000001, 'stellar_radius': 0.9600657609741865}",Moderate
FALSE POSITIVE,1.10601182,0.77,3093.39,1903.0,6241.0,1.031,1.088,,2.577,52.9,kepler,48.97046577234855,"{'planetary_radius': 0.9738635235865593, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7100089269786584, 'stellar_temp': 0.7685, 'stellar_radius': 0.9938941589930355}",Moderate
FALSE POSITIVE,6.873655305,1.21,159.51,906.0,5668.0,0.912,0.943,,3.5415,181.3,kepler,51.79958062316186,"{'planetary_radius': 0.980937964039135, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8013556990895608, 'stellar_temp': 0.945, 'stellar_radius': 0.9815769422184388}",Moderate
CONFIRMED,0.626281766,1.76,2011.27,1711.0,4922.0,0.823,0.79,,1.1812,433.1,kepler,45.64499101737045,"{'planetary_radius': 0.9434686190949939, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.68157315228257, 'stellar_temp': 0.5720000000000001, 'stellar_radius': 0.9610401843389865}",Moderate
CANDIDATE,1.183505016,0.8,658.87,1293.0,4832.0,0.746,0.791,,1.275,116.6,kepler,46.4414888360832,"{'planetary_radius': 0.977685644868579, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7133949168804206, 'stellar_temp': 0.527, 'stellar_radius': 0.9413940642443248}",Moderate
CONFIRMED,2.790643481,0.99,104.74,816.0,4353.0,0.603,0.648,,0.6871,202.0,kepler,46.64445054440824,"{'planetary_radius': 0.9989949664146499, 'insolation_flux': 0.06970378222973161, 'equilibrium_temp': 0, 'orbital_period': 0.7562845078480392, 'stellar_temp': 0.2875, 'stellar_radius': 0.8988323835490096}",Moderate
CONFIRMED,0.971915957,0.79,1591.27,1609.0,5196.0,0.889,0.828,,1.6023,73.7,kepler,48.30064095952731,"{'planetary_radius': 0.976427766647893, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7035466003558748, 'stellar_temp': 0.7090000000000001, 'stellar_radius': 0.9764683913063535}",Moderate
CONFIRMED,3.03196812,0.9,614.2,1269.0,5755.0,0.993,0.909,,1.723,81.5,kepler,52.16620878938064,"{'planetary_radius': 0.9894639484342174, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7604314951291082, 'stellar_temp': 0.9885, 'stellar_radius': 0.9985950770126071}",Moderate
CANDIDATE,15.9042402,3.79,131.11,863.0,5583.0,1.53,1.017,,2.093,444.8,kepler,48.65545273090013,"{'planetary_radius': 0.8667633980905665, 'insolation_flux': 0.024792666897737847, 'equilibrium_temp': 0, 'orbital_period': 0.8433001851144035, 'stellar_temp': 0.9025, 'stellar_radius': 0.9149464529191311}",Moderate
CANDIDATE,4.16288745,1.32,80.23,763.0,4478.0,0.651,0.637,,0.678,391.7,kepler,48.076185045316294,"{'planetary_radius': 0.9722368263401721, 'insolation_flux': 0.12302049804688708, 'equilibrium_temp': 0, 'orbital_period': 0.7762813440712529, 'stellar_temp': 0.35, 'stellar_radius': 0.9141508726452865}",Moderate
CANDIDATE,4.44902309,0.55,56.19,699.0,4353.0,0.603,0.648,,1.373,88.9,kepler,48.22800813541262,"{'planetary_radius': 0.940216299924438, 'insolation_flux': 0.19425223897517863, 'equilibrium_temp': 0, 'orbital_period': 0.7796051245554975, 'stellar_temp': 0.2875, 'stellar_radius': 0.8988323835490096}",Moderate
CONFIRMED,4.95060632,1.28,145.23,885.0,5431.0,0.717,0.802,,1.719,309.5,kepler,50.14961086839311,"{'planetary_radius': 0.9753139922068474, 'insolation_flux': 0.004336261476057479, 'equilibrium_temp': 0, 'orbital_period': 0.7849464003668764, 'stellar_temp': 0.8265, 'stellar_radius': 0.9334641123234967}",Moderate
FALSE POSITIVE,0.536544193,0.9,2199.75,1745.0,5041.0,0.728,0.766,,2.918,159.5,kepler,47.419870023167036,"{'planetary_radius': 0.9894639484342174, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6738405800925967, 'stellar_temp': 0.6315, 'stellar_radius': 0.9365091538429098}",Moderate
CONFIRMED,1.005205893,0.85,1893.23,1682.0,5718.0,0.863,0.96,,1.63,97.5,kepler,51.117407792885075,"{'planetary_radius': 0.9837481070502225, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7052305169277114, 'stellar_temp': 0.97, 'stellar_radius': 0.9705318824202582}",Moderate
FALSE POSITIVE,0.952371227,21.96,2885.01,1870.0,6086.0,0.921,1.003,,3.926,352.5,kepler,41.13534569409799,"{'planetary_radius': 0.691077738335867, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.702530878674881, 'stellar_temp': 0.846, 'stellar_radius': 0.9835409514546339}",Moderate
FALSE POSITIVE,1.089088292,1.28,3167.63,1914.0,6194.0,1.069,1.161,,1.8599,141.7,kepler,49.20507556728763,"{'planetary_radius': 0.9753139922068474, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7092379433125114, 'stellar_temp': 0.792, 'stellar_radius': 0.9866552735914184}",Moderate
CONFIRMED,3.95116635,0.83,427.07,1160.0,5574.0,1.065,0.933,,2.566,60.9,kepler,51.09475084785269,"{'planetary_radius': 0.9813670421808507, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7736714381588562, 'stellar_temp': 0.898, 'stellar_radius': 0.9874050401677223}",Moderate
CONFIRMED,2.89223998,0.7,647.55,1287.0,5574.0,1.065,0.933,,2.521,44.3,kepler,50.42772498445204,"{'planetary_radius': 0.9643325056061267, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7580724615429623, 'stellar_temp': 0.898, 'stellar_radius': 0.9874050401677223}",Moderate
FALSE POSITIVE,1.89124187,0.93,698.9,1312.0,5285.0,0.927,0.933,,4.415,105.8,kepler,49.6098120264473,"{'planetary_radius': 0.9927429307165164, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7368325818368082, 'stellar_temp': 0.7535000000000001, 'stellar_radius': 0.9848396573167436}",Moderate
CANDIDATE,3.79437277,1.36,865.53,1383.0,5455.0,1.507,0.877,,2.289,83.2,kepler,49.76889351539151,"{'planetary_radius': 0.9692515300252039, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7716468534279753, 'stellar_temp': 0.8385, 'stellar_radius': 0.9179758160711283}",Moderate
CONFIRMED,59.284064,1.81,6.14,401.0,5225.0,0.859,0.861,,5.42,424.4,kepler,65.31978863837993,"{'planetary_radius': 0.9406673154722266, 'insolation_flux': 0.6370350515681897, 'equilibrium_temp': 0, 'orbital_period': 0.9090879242006282, 'stellar_temp': 0.7235, 'stellar_radius': 0.9696027286004236}",High
CONFIRMED,67.968656,1.71,9.09,443.0,5670.0,0.95,0.802,,7.948,321.8,kepler,65.9225843566732,"{'planetary_radius': 0.9463506629485432, 'insolation_flux': 0.5585650183621225, 'equilibrium_temp': 0, 'orbital_period': 0.9159232303551393, 'stellar_temp': 0.946, 'stellar_radius': 0.9897413411224899}",High
FALSE POSITIVE,2.15681538,1.06,1114.9,1473.0,6084.0,0.983,0.991,,5.115,106.5,kepler,50.71207247780028,"{'planetary_radius': 0.9941731091876024, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7434025361007167, 'stellar_temp': 0.847, 'stellar_radius': 0.9965707682330059}",Moderate
FALSE POSITIVE,0.708563091,15.38,1501.41,1587.0,5271.0,0.648,0.718,,6.347,414.5,kepler,40.709382412261455,"{'planetary_radius': 0.7266932035922502, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6877450887123807, 'stellar_temp': 0.7464999999999999, 'stellar_radius': 0.9132270834740275}",Moderate
CANDIDATE,2.00870696,0.55,542.87,1232.0,5341.0,0.759,0.705,,4.87,53.5,kepler,48.14419007662119,"{'planetary_radius': 0.940216299924438, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7398454580474559, 'stellar_temp': 0.7815, 'stellar_radius': 0.9448492996826986}",Moderate
FALSE POSITIVE,1.33256418,0.81,602.26,1262.0,5157.0,0.62,0.614,,4.701,162.3,kepler,47.97806260029521,"{'planetary_radius': 0.9789278968684347, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.719326149518517, 'stellar_temp': 0.6895, 'stellar_radius': 0.9043928398114001}",Moderate
FALSE POSITIVE,1.387838134,1.24,2378.53,1783.0,6273.0,1.044,1.099,,2.252,136.8,kepler,49.05018896493759,"{'planetary_radius': 0.9784888620383054, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.721358259324888, 'stellar_temp': 0.7525, 'stellar_radius': 0.9913881021079106}",Moderate
FALSE POSITIVE,0.678349364,19.06,2737.73,1844.0,5569.0,0.829,0.928,,3.092,486.0,kepler,41.780351737349406,"{'planetary_radius': 0.7052408101773944, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6855662555874416, 'stellar_temp': 0.8955, 'stellar_radius': 0.9624929752306316}",Moderate
FALSE POSITIVE,1.8913182,0.9,221.36,983.0,4476.0,0.633,0.618,,4.374,202.3,kepler,45.08497959401146,"{'planetary_radius': 0.9894639484342174, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7368345997822895, 'stellar_temp': 0.349, 'stellar_radius': 0.9085430286324079}",Moderate
FALSE POSITIVE,1.33255441,1.12,2180.2,1743.0,6099.0,1.028,1.098,,3.828,106.7,kepler,50.220656606353046,"{'planetary_radius': 0.9886671314692996, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7193257829307023, 'stellar_temp': 0.8395, 'stellar_radius': 0.9944769665934053}",Moderate
FALSE POSITIVE,1.728521892,1.19,1869.82,1678.0,5872.0,1.157,0.934,,3.361,92.2,kepler,51.18565192791078,"{'planetary_radius': 0.9826046692876562, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7323342297492639, 'stellar_temp': 0.953, 'stellar_radius': 0.9708339103576921}",Moderate
FALSE POSITIVE,1.89125855,0.81,1839.74,1671.0,6569.0,0.927,0.805,,5.415,67.9,kepler,47.705365420786244,"{'planetary_radius': 0.9789278968684347, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7368330228149482, 'stellar_temp': 0.6045, 'stellar_radius': 0.9848396573167436}",Moderate
FALSE POSITIVE,8.65312868,20.38,127.5,857.0,5880.0,0.893,0.974,,3.376,508.6,kepler,44.221256846531304,"{'planetary_radius': 0.6985445972205422, 'insolation_flux': 0.0303767270803037, 'equilibrium_temp': 0, 'orbital_period': 0.8128669451013087, 'stellar_temp': 0.949, 'stellar_radius': 0.9773662603788724}",Moderate
CONFIRMED,30.0899459,2.25,44.79,660.0,6056.0,1.209,1.147,,6.654,242.6,kepler,55.72929579965732,"{'planetary_radius': 0.9189069783783671, 'insolation_flux': 0.2396030199561583, 'equilibrium_temp': 0, 'orbital_period': 0.8751804521035007, 'stellar_temp': 0.861, 'stellar_radius': 0.9620412856734689}",Moderate
CONFIRMED,9.91937693,1.32,116.43,838.0,5688.0,0.971,0.895,,4.326,186.7,kepler,53.09817883887852,"{'planetary_radius': 0.9722368263401721, 'insolation_flux': 0.04854195319021515, 'equilibrium_temp': 0, 'orbital_period': 0.8196954029608784, 'stellar_temp': 0.955, 'stellar_radius': 0.9941142378618376}",Moderate
CONFIRMED,9.47850818,1.47,189.14,946.0,6249.0,1.076,1.13,,6.154,184.6,kepler,49.590184780025496,"{'planetary_radius': 0.9614737599209355, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8174222444137025, 'stellar_temp': 0.7645, 'stellar_radius': 0.9853499076520814}",Moderate
FALSE POSITIVE,0.783258387,1.28,1395.69,1559.0,5067.0,0.715,0.686,,2.2926,328.5,kepler,47.29650968397214,"{'planetary_radius': 0.9753139922068474, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.692756265405484, 'stellar_temp': 0.6445000000000001, 'stellar_radius': 0.9329054527423741}",Moderate
CONFIRMED,4.24263096,1.1,174.24,926.0,5072.0,0.825,0.822,,2.582,187.6,kepler,48.763998335744894,"{'planetary_radius': 0.9904689820195675, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7772300767805321, 'stellar_temp': 0.647, 'stellar_radius': 0.9615256214705088}",Moderate
FALSE POSITIVE,0.755101928,0.91,2287.46,1763.0,5465.0,0.819,0.84,,3.044,119.8,kepler,49.8616544737059,"{'planetary_radius': 0.9905689320528759, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6909257707248686, 'stellar_temp': 0.8435, 'stellar_radius': 0.9600657609741865}",Moderate
FALSE POSITIVE,4.56447463,1.13,156.74,902.0,5270.0,0.77,0.863,,6.415,208.4,kepler,49.640843022825464,"{'planetary_radius': 0.9877782367275751, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7808860685132615, 'stellar_temp': 0.746, 'stellar_radius': 0.9477270471731185}",Moderate
FALSE POSITIVE,1.106529843,1.91,1746.73,1649.0,5932.0,0.798,0.899,,6.258,319.5,kepler,49.163366992363336,"{'planetary_radius': 0.9352896757941461, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7100323400071282, 'stellar_temp': 0.923, 'stellar_radius': 0.9548706636935343}",Moderate
FALSE POSITIVE,1.08193721,0.77,870.17,1385.0,4965.0,0.736,0.709,,4.788,115.3,kepler,46.93346609568667,"{'planetary_radius': 0.9738635235865593, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7089085548343151, 'stellar_temp': 0.5935, 'stellar_radius': 0.9386949679493478}",Moderate
FALSE POSITIVE,2.43142974,1.17,852.0,1378.0,5750.0,0.965,0.785,,2.713,146.6,kepler,51.847310277962876,"{'planetary_radius': 0.9842996251190336, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7493948702035018, 'stellar_temp': 0.986, 'stellar_radius': 0.9928745644713698}",Moderate
CONFIRMED,1.41975831,0.85,1968.38,1700.0,5925.0,1.035,0.968,,1.429,60.9,kepler,50.96799408592465,"{'planetary_radius': 0.9837481070502225, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7224952301135312, 'stellar_temp': 0.9265, 'stellar_radius': 0.9931197146565336}",Moderate
CONFIRMED,3.951383138,23.51,324.78,1083.0,5570.0,0.899,0.845,,1.0582,405.7,kepler,42.117991982088036,"{'planetary_radius': 0.6842574137448022, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7736741814254486, 'stellar_temp': 0.896, 'stellar_radius': 0.9787055510978967}",Moderate
CONFIRMED,6.84978728,1.83,322.19,1081.0,6056.0,1.209,1.147,,4.919,139.2,kepler,49.61907630138063,"{'planetary_radius': 0.9395684033146671, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8011817773573271, 'stellar_temp': 0.861, 'stellar_radius': 0.9620412856734689}",Moderate
CONFIRMED,28.9060526,0.79,6.94,414.0,4657.0,0.67,0.748,,3.099,99.0,kepler,62.33258103778889,"{'planetary_radius': 0.976427766647893, 'insolation_flux': 0.6125396450962574, 'equilibrium_temp': 0, 'orbital_period': 0.87317344775428, 'stellar_temp': 0.4395, 'stellar_radius': 0.919904486680575}",High
CONFIRMED,8.10503551,1.45,199.74,959.0,6201.0,0.989,1.058,,4.459,209.9,kepler,49.855200126239815,"{'planetary_radius': 0.9628436443567517, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8095951742896689, 'stellar_temp': 0.7885, 'stellar_radius': 0.997787810528115}",Moderate
CONFIRMED,8.82715783,1.67,95.25,797.0,5550.0,0.878,0.972,,2.019,368.6,kepler,52.54752088314019,"{'planetary_radius': 0.9487176373571337, 'insolation_flux': 0.08869899719863794, 'equilibrium_temp': 0, 'orbital_period': 0.8138625517807245, 'stellar_temp': 0.886, 'stellar_radius': 0.973978262930596}",Moderate
FALSE POSITIVE,1.87886973,1.04,553.59,1236.0,5448.0,0.734,0.815,,3.876,181.9,kepler,50.288135779155816,"{'planetary_radius': 0.9960779286846718, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7365044168983288, 'stellar_temp': 0.835, 'stellar_radius': 0.9381507499264757}",Moderate
FALSE POSITIVE,0.979161676,1.03,1357.43,1548.0,5390.0,0.78,0.875,,2.942,160.2,kepler,49.76204195563052,"{'planetary_radius': 0.9970441197758455, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7039179721653653, 'stellar_temp': 0.806, 'stellar_radius': 0.9503077281403001}",Moderate
FALSE POSITIVE,0.855922327,0.87,1782.11,1658.0,5437.0,0.759,0.727,,1.514,130.9,kepler,49.57338144787584,"{'planetary_radius': 0.9860737932666492, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.697192115146287, 'stellar_temp': 0.8295, 'stellar_radius': 0.9448492996826986}",Moderate
CANDIDATE,2.31482311,0.69,554.4,1237.0,5240.0,0.923,0.833,,2.127,58.6,kepler,48.58605852315861,"{'planetary_radius': 0.9628936318609168, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7469375611810398, 'stellar_temp': 0.731, 'stellar_radius': 0.983974791104143}",Moderate
FALSE POSITIVE,0.952374508,1.13,1006.13,1435.0,4754.0,0.821,0.791,,3.006,204.8,kepler,46.341425441585976,"{'planetary_radius': 0.9877782367275751, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7025310509288433, 'stellar_temp': 0.488, 'stellar_radius': 0.9605535660940582}",Moderate
CANDIDATE,10.778313,1.25,306.18,1067.0,6726.0,1.258,1.054,,5.256,90.7,kepler,47.599523192327695,"{'planetary_radius': 0.977685644868579, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8238477004548581, 'stellar_temp': 0.526, 'stellar_radius': 0.9540953683443503}",Moderate
CANDIDATE,4.32710895,26.6,900.23,1397.0,5776.0,1.455,0.804,,1.387,108.9,kepler,42.55441924671502,"{'planetary_radius': 0.6719088784212346, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7782158794701439, 'stellar_temp': 0.999, 'stellar_radius': 0.9249988198753089}",Moderate
CANDIDATE,2.90512019,0.57,314.96,1075.0,5374.0,0.721,0.68,,2.293,61.2,kepler,48.549473459997785,"{'planetary_radius': 0.9437881081846459, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7582946356155591, 'stellar_temp': 0.798, 'stellar_radius': 0.9345767716605624}",Moderate
